metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
AMP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	140255.6455	120983.2317	110961.2567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	231538.4186	214388.2738	174996.1859	0.0	0.0	0.0	24549.96884	19258.76109	27278.10396	0.0	0.0	0.0
AMP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	302322.4564	267312.3943	236063.7858	62342.98497	38017.3297	47460.08311	43979.34278	50903.24455	50684.0669	82267.02791	48733.07669	52918.81955
AMP_m+5	87408.88146	85981.34932	102707.0375	51504.88576	0.0	0.0	5828954.861	4879365.484	4574890.47	1890029.466	1164326.779	1463687.809	949089.0843	919633.8864	991378.9614	2456497.005	1405292.322	1681045.287
AMP_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	411100.4391	231931.2024	296339.6193	0.0	0.0	0.0	372773.8385	259961.3904	276089.9589
AMP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147357.3595	88122.74866	118120.6197	0.0	0.0	0.0	154393.0801	99167.73242	116306.7835
AMP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49413.74697	29029.78928	42349.09966	0.0	0.0	0.0	56924.91112	36166.26334	44270.79377
AMP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP_m+0	21931783.47	21671416.86	22847497.65	47789031.09	32520603.3	44965061.68	1717133.509	1365813.418	1236642.989	23334089.24	15217608.76	20562051.2	433148.129	237546.069	195818.8416	10165230.38	8461788.647	8340880.301
ATP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	33149.73364	37326.8668	44807.88986	0.0	0.0	0.0	966.0422161	3921.011287	6256.252807	0.0	0.0	0.0
ATP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	88061.0981	84239.84688	83123.47628	0.0	0.0	0.0	15814.11126	15288.60432	15803.21141	14.63240583	0.0	0.0
ATP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	120180.5178	115514.6585	109039.5738	324874.331	181930.0999	272937.2783	62640.2626	58867.05163	58228.65943	150987.7062	134365.8742	129681.6573
ATP_m+5	152970.8349	164424.6243	185796.4768	277753.1622	191097.7057	273665.9095	3154561.416	2863404.207	2724752.592	12366762.48	7553774.059	10521566.21	2099566.059	1873065.002	1906536.855	5678075.714	4949649.136	4996347.646
ATP_m+6	0.0	0.0	0.0	28000.97096	18089.67397	25210.95062	0.0	0.0	0.0	3680349.802	2107057.894	3055750.534	0.0	0.0	0.0	1197654.439	1050786.415	1055869.37
ATP_m+7	0.0	0.0	0.0	3158.152288	2036.091177	5976.816866	0.0	0.0	0.0	1421380.322	719523.1501	1198530.597	0.0	0.0	0.0	347503.9507	313529.2246	319695.0162
ATP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	6732.150213	0.0	0.0	306226.5634	155705.2209	223872.9456	6709.617068	0.0	0.0	93969.97342	86781.54677	87358.33995
ATP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600.6437258	735.2893913	0.0	0.0	0.0	4060.116957	2437.781072	4480.885805
CDP_m+0	2662451.864	2683067.106	2829501.627	6551835.0	5550428.022	5605290.875	867616.8028	758565.5829	896672.731	2828046.707	1820587.648	2350845.524	63017.12372	66371.52718	63454.50728	1223727.403	831078.1945	802549.6742
