metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
UMP_m+8	0.0	0.0	0.0	92445.29387	85406.76608	97735.38532	525852.7351	543104.9453	525394.668	4030284.592	2895144.876	3407517.759	77239.25829	61420.98025	60854.41635	1232976.195	863903.9319	885109.3564
UMP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTP_m+0	11660764.69	11011382.28	12068508.83	39890060.66	28554702.07	36070212.83	1634495.338	1693613.088	959959.7439	13327963.05	11081728.74	13016554.04	389101.996	331324.404	303937.1304	2501499.15	1891989.289	1876290.082
UTP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTP_m+2	115235.6588	74228.12203	154588.7471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2314.069268	2138.078587	0.0	0.0	0.0
UTP_m+3	66724.19249	64954.8609	77151.57397	53241.74559	34631.21637	45470.54591	28614.88194	32110.74882	21594.02783	33519.25368	33408.74192	35120.1079	14747.50075	16895.77423	16181.73457	4335.681782	4321.622928	2886.463754
UTP_m+4	48723.09861	52994.02739	58933.68118	63894.61295	41662.95417	61214.00435	47617.63467	53794.56361	35799.70495	168828.1692	136267.1463	171684.0872	54679.33836	58876.27397	63600.98035	22263.30443	16526.55482	16673.12789
UTP_m+5	448271.5879	434523.3954	533013.008	1694318.908	1168811.836	1653654.201	1095968.354	1282069.012	704418.7777	6318510.444	4795437.125	5855120.042	1535591.597	1686340.616	1846411.498	649110.3442	466408.1861	462368.6143
UTP_m+6	3935.809538	5950.636572	5784.398671	115756.7186	77474.54485	118110.9254	1098.197179	0.0	0.0	916633.5683	694537.8541	882229.0699	0.0	0.0	0.0	72820.1854	60542.45522	58004.95203
UTP_m+7	38330.40638	38141.06161	46892.31667	1401677.239	952682.0448	1397891.999	368789.9759	178380.2501	40113.43157	11000820.97	8402443.6	10254673.87	37970.90154	0.0	0.0	1340664.577	994503.5085	999369.5687
UTP_m+8	18728.74736	18544.13759	20985.21863	523550.8412	351655.1386	511467.8342	155743.9412	88981.79441	26028.0531	4898868.797	3732265.531	4547344.01	35475.83885	15323.77238	11937.31908	459179.606	324945.4225	341109.5794
UTP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glutamate_m+0	52159204.15	41299241.61	34898441.86	6602488.999	8778036.435	3741840.165	12393580.54	4064201.256	13810327.56	5125448.059	8030244.351	4961029.353	14255567.93	11368541.08	14118331.49	5560740.225	5570180.481	6143348.922
Glutamate_m+1	135682.0315	102013.5891	334676.0896	301862.1839	18772.27323	0.0	280019.6775	209786.144	629012.17	0.0	0.0	0.0	0.0	0.0	176746.9012	40177.86306	0.0	132245.6405
Glutamate_m+2	6071349.991	4943739.34	4874378.016	3271867.434	4093682.479	1384447.63	4135078.074	1116357.05	5580872.133	4095333.924	4742584.901	4122688.118	1650163.827	579050.4708	2048310.163	3345338.126	2288340.411	3111967.562
Glutamate_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glutamate_m+4	582616.8357	622422.6978	555634.8362	781431.8458	1018792.269	535072.2799	1407448.893	655773.4486	2465789.455	6161741.096	7265410.941	5569844.628	560498.3828	628769.2091	795804.2947	2477595.8	1802543.984	2130979.654
Glutamate_m+5	275688.2914	191878.3388	132709.9688	307472.0367	378946.0876	208250.5734	827798.8607	249955.0082	1320023.345	3150885.847	3659562.219	3031253.09	414576.8559	441618.7834	544177.1121	2418865.443	1440192.201	2129720.717
Alanine_m+0	42497828.5976955	42375459.0633847	37216462.3946799	19843433.2418396	22690172.7364832	16354630.7600669	18116390.1633717	16912838.2305408	27532924.1913791	27439273.7854852	37699851.7933766	25177164.3234165	55146546.7383548	34917381.5127612	39218175.7796407	20641207.2634435	22066676.9255779	26106107.9652742
Alanine_m+1	39206.9427141272	174117.991278377	0.0	0.0	0.0	0.0	0.0	0.0	186329.223667169	0.0	0.0	0.0	949691.469411963	336401.971929938	698928.454604666	2099.55742709871	0.0	0.0
Alanine_m+2	460560.778355453	487132.949650254	361551.98282813	57750.4184095503	170093.180902811	0.0	336897.230192821	1212530.88392017	2566494.70038115	2444885.10938909	2715936.79830359	2663931.43686257	2754760.84830256	2557341.80994729	3632147.40088092	2008625.09038926	2363590.02603226	3078872.48593203
Alanine_m+3	10832192.0985078	10905734.206006	9254519.87050569	7463445.35499342	7145380.10150606	4811766.73805488	13025727.0646597	33401629.3985715	71501595.2567063	71827969.7355721	84594634.8056578	76970137.9483863	68381284.3042394	70207906.5524759	87538449.4473389	72436190.1351179	78559163.7198274	86794845.1342827
Aspartate_m+0	52069987.6750596	58679762.1022834	43104687.9337553	9636261.4615374	14494447.3586022	5992005.32651157	17170901.5509327	2111489.93228918	13984751.4905979	18357814.5480666	31179866.1163873	15986669.9659813	44310406.9958725	16932686.497655	22438425.6567813	12559434.3950472	16370567.5065169	19588922.9461708
Aspartate_m+1	478584.532942534	155229.050550306	189255.733011906	0.0	0.0	30147.2685576385	139511.405901108	0.0	252006.618441179	552401.428151994	858788.552413145	548721.609739792	0.0	0.0	0.0	28770.9639081388	578133.361007264	506045.930730475
Aspartate_m+2	3558254.00904161	3424973.35587566	2733303.05156537	0.0	628371.490009254	0.0	1082981.36294663	0.0	1167260.28037507	1850549.0049285	2863351.0359167	1941971.6226682	86025.7417517557	32768.3313725097	279406.800290945	317172.462795823	425272.270615975	686550.878987466
Aspartate_m+3	8789124.04603493	7642024.26551829	6523405.57401102	1972762.30099101	3488378.81784404	1183839.71940652	977563.887100527	30519.5414232369	1326672.18496403	4309203.46239842	4976823.221458	3448253.61986336	1672767.99427665	672555.468881583	1069020.67857771	225085.503476256	377108.73788916	511181.608607574
Aspartate_m+4	283137.421405251	22122.5536898438	23232.1935173949	0.0	83253.5150072225	0.0	404840.8111942	0.0	630779.238644768	0.0	101217.772502791	92141.509761534	0.0	44692.8544422107	87757.2517219236	0.0	0.0	120339.654147635
Glutamine_m+0	174448882.698137	120271702.216118	106985177.600438	23527049.3717474	26893406.2651558	13237762.8282706	4607296.28400091	4175849.5946758	21943846.484585	13869652.316123	23339983.4502787	13135122.579293	96982732.3918754	26486470.871312	37960908.275514	24714026.926261	26694821.1488322	34848217.4282098
Glutamine_m+1	620449.196096286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glutamine_m+2	18126148.5029669	12829651.0310232	10799152.4940534	9126818.86380416	11392563.4332864	4488442.07399577	836938.521615728	1560474.48979824	6753680.72872212	7373622.42726169	10129995.4179827	7223668.11333755	16113515.2918536	4271729.967804	6168466.33913348	15592456.0653595	13206623.9029916	20518307.6228129
Glutamine_m+3	4042203.1008177	2732055.95474845	2202795.19297598	3263400.12999093	4382826.56315246	1449769.19350624	558330.480203344	571896.266445188	3835977.894524	3068534.28916815	3763665.62897574	2501328.00831984	8643721.77080197	2087426.91309716	3144704.56549472	6973981.1494856	5721466.62414391	8797868.66610746
Glutamine_m+4	1774372.92679357	1054576.63888239	1028874.13447536	2667207.38038246	3216165.03707784	1198504.00096892	472836.254260117	644864.203835808	3797046.26973351	10852198.6490564	14188920.2020167	10078122.3105951	8874763.72661911	2372339.72598375	3233515.71342732	14727128.9194749	12739251.1443739	20265335.7091241
Glutamine_m+5	628410.83301578	272568.16801882	391968.175568288	1444109.9958562	1930925.36119312	544326.992598967	285697.843257836	555615.439664432	2098337.80951187	5354585.33674999	7617638.1293598	5125289.40370769	6605049.03702965	1583990.7369342	2461680.05094326	12026303.4261028	9886192.21197122	14775740.1125209
Glycine_m+0	456107061.032005	440801861.392907	390560559.33983	353564923.804628	304971152.087378	345372150.775239	204375503.433146	152845354.673717	294662288.557169	527383042.389031	696404871.082043	490859640.928409	643598202.68348	263244743.360023	251611410.728073	405750225.507212	367176375.54314	515771924.744977
Glycine_m+1	0.0	0.0	0.0	0.0	611675.249029108	0.0	1626995.89818779	319661.204090511	0.0	0.0	0.0	0.0	0.0	5824.64757452735	0.0	558033.940779393	914836.140696105	1708500.29628903
Glycine_m+2	0.0	0.0	0.0	3187916.69170806	4035984.88528183	3118007.69692825	2800858.9420235	2020701.38650016	3261819.65829932	40113142.6819518	52025060.3399082	32326801.0874477	4179273.16317429	3418839.3101912	3484904.94895936	26601560.3518886	24145569.595044	38348089.8123061
Serine_m+0	1808996485.12575	1672415346.94577	1542487335.27751	1208074687.27257	1284933688.77345	1165847089.48888	1144563596.93688	281222253.110572	1018788094.25319	1578983388.75065	1763002178.46668	1430155975.59841	2215007427.78719	1130590845.32352	1283998479.34322	1655714796.95074	1360814825.43421	1563998865.95295
Serine_m+1	0.0	0.0	0.0	6472508.60191569	1349971.17359901	3280426.77526134	0.0	0.0	0.0	132607574.207705	140992666.617607	133926861.924281	416931.103961835	0.0	0.0	93204743.4820591	87201333.6150034	117247009.099049
Serine_m+2	0.0	0.0	0.0	7298338.50572986	7490674.67795753	4968044.85018967	0.0	0.0	318894.37472593	80724239.8082142	88370109.4867894	81918677.6119383	403334.499086775	223435.508362381	302184.065009038	54318489.3437874	52561209.0184473	68466278.1895217
Serine_m+3	292811.030148885	325305.543765301	351239.95227383	9406375.00403463	8015607.9242748	6778972.11872882	472278.321810682	144885.93562013	653480.828103547	72095157.3444792	75926298.9447881	71101134.6544765	1549114.70448506	571812.316992944	1058561.6930095	41965516.6337332	40326314.7571428	53083010.8042515
