	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Lactic_acid	144508233.5975	156291606.072	220555183.19160002	126180648.8324	144246482.4676	124187450.9642	159098641.3807	166547506.4958	153946504.56649998	161291195.7888	167034570.8884	180949735.58240002	185264503.5548	147079748.4772	141346703.6672	173273920.08300003	182667844.99320003	162097549.564	130853100.1533	117521359.02900001	121792937.57100001	116574826.3968	186436698.86699998	137687938.5651	215285103.7815	162753373.33200002	206839156.0928	153147398.9148	165597729.9327	150550403.976	140306804.7024	182142606.4632	146210521.2552	151998375.90299997	155704387.5049	170786336.8458
Hexose	25592448.0	26021942.0	27206225.0	23803012.0	25102203.0	24906412.0	24115568.0	24685946.0	27343710.0	24045142.0	25373070.0	25392678.0	25741622.0	26342588.0	27705942.0	26952332.0	26831035.0	28064466.0	25736862.0	25630071.0	25554255.0	27958360.0	27402352.0	27756862.0	28668854.0	27617489.0	27905889.0	26826206.0	28322814.0	27193891.0	28344277.0	28687198.0	28533656.0	30127446.0	28072016.0	29623698.0
Hexose-phosphate	1961109.0	1959520.0	2135779.0	1765305.0	2106662.0	1933250.0	1386899.0	1625682.0	2306346.0	968007.8	1145652.0	1200010.0	2325026.0	2451496.0	2687937.0	3335800.0	3592161.0	2556636.0	2238262.0	2084105.0	2128283.0	2007655.0	2010753.0	2139887.0	1853279.0	1903509.0	2064095.0	891565.2	947952.6	1404808.0	2134664.0	2186309.0	2560010.0	2906409.0	3066476.0	3090132.0
Pyruvic_acid	1917388425.2	1801042875.6	1769911267.5	1856965127.46724	1803928588.26853	1846824264.97926	1893393058.94464	1828104173.2498999	1877149451.9965198	1789050730.6067998	1856653573.3555503	1915261352.46272	1863154642.5544698	1879061182.6561801	1922184394.30086	1886514868.0771801	1948261764.6246996	1919725886.4970503	1954700004.8	1917632046.2	1976858870.0	1991806763.8588	1970226747.7083797	2034267213.1690798	1867632510.6975	2040042837.2067602	1999877945.4677398	1967107468.2965996	2043694819.27064	2043595754.3501801	2048371572.53256	2021479795.5768003	2082528318.8499002	2020805205.49726	2112030188.98505	2096676899.3843398
L-Glutamine	8510731.2	7535110.5852	6837315.8	6254634.01035	6450111.3	6703757.0	6229997.19	6417459.44294	7089832.0	6262307.240343	7183546.825686	7147955.013706	6337286.447125	6671726.896319999	6806143.861374	7987927.98645	7291915.805980001	6095630.2589	7019920.4	6532836.1511	6572252.37	6509101.637500001	7552122.087874	7518259.73136	6691148.63274	7070625.780072	6879155.199709999	6134200.528051	6995772.628488	5987419.06	6800047.216944001	7100543.992823999	6669598.706628	7905715.641220001	6814137.9617800005	7696414.37395
L-Methionine	111587598.63	114078421.0	116429022.98	106631524.0	116206328.88	116079367.0	102273843.0	107742189.47	127967687.63	106666686.52	115161782.0	112673440.8	120496351.0	127449040.35	124908016.34	125162721.39	126596400.96	131638540.0	118910530.38	116251351.31	117437514.17	123731256.0	117325303.0	119894068.0	118888460.0	123486618.0	121237023.95	111160836.0	114205798.0	112236287.0	125051747.62	120149632.0	120872452.0	127181786.44	124175220.4	121414877.49
L-Phenylalanine	643753729.0	656696333.0	696285254.0	602900472.0	665937741.0	670610235.0	614278379.0	612816957.0	719608162.0	641716213.0	700023088.0	697050723.0	706201758.0	723398796.0	756029903.0	730751792.0	723570898.0	769223920.0	692547964.0	672667792.0	684068445.0	723892316.0	680839604.0	705451818.0	721504656.0	712644661.0	725258958.0	704796538.0	694904087.0	702912709.0	709990920.0	713449979.0	692194499.0	754961816.0	732817114.0	736047053.0
Glycine	23883070.3	23329218.4	23831282.1	21889794.4	23261295.2	24800885.3	22451154.7	21952914.8	24144279.7	23251365.6	24808512.9	24654366.4	24014317.7	25026922.4	24057529.2	26263743.9	26461167.4	26743763.1	38568824.7	23933335.1	23817571.2	24716634.0	24388307.9	24551564.9	24341574.0	25034455.2	25351897.5	24012112.5	24716686.8	24238653.1	25420100.5	25737117.5	24750328.5	26607853.2	25944058.0	27409175.2
L-Alanine	2324686.07	2477711.03	3273362.46	2314779.73	2504737.96	2380059.33502	2085398.04	2596945.77	2371967.29	2399973.62	2266782.62	2368250.3	2575765.6	2448754.22	2429918.37	2687981.913897	2676096.64584	2518353.852742	2711285.92	2540155.07	2559385.14	2527599.84	2896367.49	2631247.66	2707425.2	3058673.43	2931490.55	2310809.57	2237836.44	2381780.97	2671689.3	2665733.79	2984499.73	2891605.18	2725809.8	3155771.68
L-Histidine	67121634.0	68591524.0	69275844.0	64951664.0	66109240.0	67337323.0	64404237.0	62671441.0	69628886.0	64374704.0	68967498.0	65125829.0	68721422.0	70772197.0	70891468.0	71730019.0	71075334.0	74501930.0	65927478.0	67941900.0	67663687.0	70281184.0	69218408.0	67696080.0	68954189.0	70591238.0	71627924.0	68749769.0	68883162.0	68691537.0	71682790.0	71248866.0	71460635.0	75258975.0	71782851.0	74333815.0
