	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
cis-Aconitic_acid_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_PARENT	0.9491	0.9486	0.9494	0.6142	0.6189	0.6056	0.5577	0.5714	0.5652	0.4822	0.4867	0.4972	0.4546	0.4646	0.4642	0.316	0.3141	0.2752	0.9508	0.9458	0.9461	0.5901	0.6015	0.6048	0.5577	0.5556	0.5645	0.4619	0.4592	0.4492	0.4429	0.4446	0.4337	0.2799	0.2783	0.277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_C13-label-1	0.0103	0.0095	0.0078	0.064	0.0635	0.0668	0.0737	0.0687	0.0708	0.0844	0.0822	0.0818	0.0841	0.0841	0.0833	0.1015	0.1039	0.1057	0.0084	0.0109	0.012	0.0718	0.066	0.068	0.0715	0.0688	0.0676	0.08	0.089	0.0831	0.0802	0.0772	0.0774	0.0992	0.0967	0.0963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_C13-label-2	0.0399	0.0409	0.0417	0.2288	0.2277	0.2352	0.2485	0.2455	0.2474	0.2697	0.2684	0.2654	0.279	0.2725	0.2721	0.2757	0.2776	0.2818	0.0387	0.0408	0.0401	0.2379	0.2321	0.227	0.2477	0.2507	0.2437	0.2783	0.2794	0.2815	0.2772	0.2815	0.2845	0.2789	0.277	0.2778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_C13-label-3	-0.0001	0.0004	0.0	0.0471	0.0465	0.047	0.0619	0.057	0.0599	0.0816	0.0807	0.0765	0.0887	0.0873	0.0863	0.1433	0.1422	0.1557	0.0006	0.001	0.0007	0.0519	0.051	0.0506	0.0628	0.0625	0.0614	0.0874	0.0859	0.0909	0.0949	0.0925	0.095	0.1517	0.1528	0.1526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_C13-label-4	0.0008	0.0006	0.0011	0.0395	0.0381	0.0396	0.0487	0.0477	0.0468	0.0665	0.065	0.064	0.0741	0.0728	0.0746	0.1161	0.1159	0.1263	0.0015	0.0015	0.0012	0.0415	0.0421	0.0426	0.0508	0.0506	0.0524	0.0748	0.0701	0.0762	0.0813	0.0803	0.0841	0.1319	0.1339	0.135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid_C13-label-5	0.0	0.0	0.0	0.0064	0.0053	0.0058	0.0094	0.0096	0.0099	0.0156	0.0171	0.0153	0.0194	0.0187	0.0194	0.0474	0.0463	0.0554	0.0	0.0	0.0	0.0068	0.0072	0.0072	0.0095	0.0118	0.0103	0.0177	0.0165	0.019	0.0234	0.0238	0.0254	0.0583	0.0613	0.0613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamine_PARENT	1.0013	1.0121	1.0036	0.6977	0.7194	0.7096	0.7483	0.7005	0.6924	0.6433	0.6303	0.6365	0.6104	0.6142	0.6001	0.4345	0.4535	0.4448	0.997	0.9986	1.0062	0.7442	0.7242	0.7438	0.7153	0.6673	0.7306	0.651	0.672	0.6151	0.6287	0.5962	0.5953	0.5014	0.4424	0.4312	1.0087	0.9992	1.0098	0.9885	1.0084	1.0057	1.0017	0.9982	1.0093	0.9933	0.9966	0.9854	0.9799	0.972	0.9806	0.7531	0.7163	0.7198	1.0007	0.9991	1.017	0.9955	0.9971	0.9912	0.9971	0.9969	0.9941	0.9941	0.9912	1.002	0.9654	0.9873	0.9724	0.7453	0.7331	0.7547
L-Glutamine_C13-label-1	-0.011	-0.0222	-0.0132	0.0359	0.0405	0.0367	0.0347	0.0402	0.0397	0.0502	0.0598	0.0595	0.0627	0.057	0.0695	0.0807	0.0756	0.077	-0.0056	-0.0087	-0.0135	0.0338	0.0457	0.0397	0.0424	0.0526	0.0386	0.0496	0.0515	0.059	0.0573	0.0619	0.0664	0.0588	0.0771	0.0855	-0.0078	0.0021	-0.009	0.0133	-0.0075	-0.0047	-0.0061	0.0031	-0.0084	-0.0014	0.0	0.0012	0.0014	-0.0007	-0.0015	0.0324	0.0423	0.0356	0.0006	0.0022	-0.0186	0.006	0.0015	0.0104	0.0043	-0.0014	0.0074	-0.0003	-0.0019	-0.0069	0.0095	0.001	0.0061	0.0427	0.0363	0.0354
L-Glutamine_C13-label-2	0.01	0.0104	0.0099	0.1975	0.1817	0.1843	0.1482	0.1693	0.1847	0.1858	0.1932	0.1916	0.1952	0.1956	0.1943	0.2324	0.223	0.2215	0.009	0.0104	0.0076	0.1632	0.1656	0.1466	0.1757	0.1919	0.1529	0.1738	0.1752	0.1831	0.1835	0.1992	0.1924	0.2002	0.2191	0.2236	-0.0009	-0.0013	-0.0008	-0.0018	-0.0009	-0.001	0.0046	-0.0014	-0.0009	0.0062	0.0035	0.0118	0.0176	0.0221	0.0187	0.1073	0.1289	0.1136	-0.0013	-0.0013	0.0017	-0.0015	0.0014	-0.0017	-0.0014	0.0047	-0.0016	0.0065	0.0111	0.0052	0.0215	0.0121	0.0185	0.1015	0.1025	0.099
L-Glutamine_C13-label-3	-0.0003	-0.0003	-0.0003	0.0363	0.0344	0.0357	0.0371	0.049	0.0469	0.0606	0.0608	0.0624	0.064	0.0674	0.0758	0.1233	0.1183	0.1239	-0.0003	-0.0004	-0.0003	0.0288	0.0346	0.036	0.0363	0.043	0.0387	0.064	0.0502	0.0747	0.0699	0.0693	0.0672	0.1072	0.1175	0.1212	0.0	0.0	0.0	0.0	0.0	0.0	-0.0002	0.0	0.0	-0.0002	-0.0001	-0.0004	0.0012	0.0045	-0.0006	0.0539	0.0524	0.0625	0.0	0.0	-0.0001	0.0	-0.0001	0.0	0.0	-0.0002	0.0	-0.0002	-0.0004	-0.0002	0.0008	-0.0004	-0.0006	0.0544	0.066	0.0513
L-Glutamine_C13-label-4	0.0	0.0	0.0	0.0297	0.0222	0.0294	0.0263	0.0341	0.0313	0.0498	0.0483	0.042	0.0532	0.0528	0.052	0.0915	0.0911	0.0935	0.0	0.0	0.0	0.0267	0.0279	0.0308	0.0268	0.0374	0.0321	0.0505	0.0419	0.0522	0.0471	0.0519	0.0629	0.0908	0.1005	0.0965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0022	0.0029	0.0367	0.042	0.0468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0038	0.0398	0.0432	0.0352
L-Glutamine_C13-label-5	0.0	0.0	0.0	0.003	0.0018	0.0042	0.0053	0.007	0.0049	0.0103	0.0076	0.008	0.0146	0.013	0.0083	0.0375	0.0385	0.0393	0.0	0.0	0.0	0.0034	0.0021	0.0032	0.0034	0.0078	0.0072	0.0111	0.0092	0.0159	0.0135	0.0215	0.0158	0.0415	0.0433	0.0421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0166	0.0182	0.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163	0.0189	0.0244
L-Methionine_PARENT	1.0102	1.0123	1.0111	1.0096	1.0089	1.0107	1.0114	1.0079	1.011	1.0105	1.0071	1.0099	1.0083	1.0104	1.0103	1.0082	1.0083	1.0074	1.0103	1.0087	1.0092	1.0093	1.0087	1.0113	1.0098	1.0107	1.0094	1.0105	1.0095	1.009	1.0079	1.0099	1.0089	1.0082	1.0084	1.0079	1.0104	1.0075	1.0103	1.0098	1.0099	1.0084	1.0096	1.0077	1.0081	1.0086	1.0081	1.0086	1.0081	1.0082	1.0074	1.0095	1.0068	1.0093	1.008	1.0086	1.0079	1.0082	1.0108	1.0088	1.009	1.0087	1.0085	1.0068	1.0091	1.0101	1.009	1.008	1.0082	1.0086	1.0086	1.0076
L-Methionine_C13-label-1	-0.0094	-0.0115	-0.0103	-0.0087	-0.008	-0.0101	-0.0106	-0.0071	-0.0102	-0.0097	-0.0061	-0.0091	-0.0076	-0.0096	-0.0096	-0.0074	-0.0073	-0.0066	-0.0095	-0.0078	-0.0083	-0.0084	-0.0078	-0.0105	-0.0089	-0.01	-0.0085	-0.0097	-0.0088	-0.0083	-0.0071	-0.0091	-0.008	-0.0074	-0.0075	-0.007	-0.0096	-0.0065	-0.0096	-0.0089	-0.0093	-0.0075	-0.0088	-0.007	-0.0074	-0.0078	-0.0072	-0.0078	-0.0072	-0.0074	-0.0065	-0.0088	-0.006	-0.0084	-0.0072	-0.0079	-0.0071	-0.0073	-0.01	-0.0079	-0.0082	-0.0078	-0.0077	-0.0058	-0.0082	-0.0093	-0.0082	-0.007	-0.0073	-0.0078	-0.0078	-0.0067
L-Methionine_C13-label-2	-0.0008	-0.0007	-0.0008	-0.0009	-0.0009	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008	-0.001	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0009	-0.0009	-0.0008	-0.0009	-0.0009	-0.0009	-0.0009	-0.0008	-0.0008	-0.0007	-0.0009	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0009	-0.0009	-0.0007	-0.001	-0.0007	-0.0008	-0.0005	-0.0009	-0.0009	-0.0007	-0.0006	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0007	-0.0008	-0.0009	-0.0008	-0.0009	-0.0009	-0.0009	-0.0008	-0.001	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0008
L-Methionine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_PARENT	1.0093	1.0077	1.0085	1.0083	1.0089	1.0092	1.0082	1.0077	1.0076	1.0089	1.0093	1.0077	1.008	1.0066	1.0083	1.0066	1.0069	1.0061	1.008	1.0066	1.0073	1.0085	1.01	1.0081	1.0094	1.0076	1.0062	1.0074	1.0079	1.0069	1.0067	1.0071	1.0063	1.0066	1.0065	1.0064	1.0087	1.0064	1.0065	1.0073	1.0071	1.0074	1.0074	1.0082	1.0056	1.007	1.0063	1.0059	1.0067	1.0063	1.0057	1.0075	1.006	1.0061	1.0072	1.0073	1.0077	1.0074	1.0064	1.0061	1.0069	1.0068	1.0065	1.0079	1.0066	1.0068	1.0064	1.0063	1.0067	1.0056	1.0057	1.0074
L-Phenylalanine_C13-label-1	-0.0077	-0.0069	-0.007	-0.0069	-0.0079	-0.0082	-0.0067	-0.0066	-0.0065	-0.0079	-0.0083	-0.0063	-0.0072	-0.0057	-0.0073	-0.0059	-0.0063	-0.005	-0.0071	-0.0056	-0.0063	-0.0068	-0.0086	-0.0069	-0.0078	-0.0064	-0.0054	-0.0059	-0.0067	-0.0057	-0.0059	-0.006	-0.0054	-0.0057	-0.0058	-0.006	-0.008	-0.0053	-0.0056	-0.0064	-0.0066	-0.0068	-0.0069	-0.0075	-0.0051	-0.0063	-0.0054	-0.0052	-0.0061	-0.0055	-0.0053	-0.0068	-0.0053	-0.0055	-0.0064	-0.0068	-0.007	-0.0068	-0.0055	-0.0057	-0.0061	-0.0061	-0.006	-0.0073	-0.0061	-0.0064	-0.0057	-0.0058	-0.006	-0.0051	-0.0051	-0.0071
L-Phenylalanine_C13-label-2	-0.0016	-0.0008	-0.0015	-0.0014	-0.001	-0.001	-0.0014	-0.0011	-0.001	-0.001	-0.0009	-0.0014	-0.0007	-0.0009	-0.001	-0.0007	-0.0007	-0.0011	-0.0009	-0.001	-0.001	-0.0016	-0.0014	-0.0012	-0.0016	-0.0012	-0.0008	-0.0014	-0.0012	-0.0013	-0.0008	-0.0011	-0.0009	-0.0009	-0.0007	-0.0005	-0.0007	-0.0011	-0.0009	-0.0008	-0.0005	-0.0006	-0.0005	-0.0008	-0.0005	-0.0007	-0.0009	-0.0007	-0.0006	-0.0008	-0.0003	-0.0007	-0.0007	-0.0007	-0.0008	-0.0005	-0.0006	-0.0006	-0.0009	-0.0005	-0.0009	-0.0008	-0.0005	-0.0006	-0.0005	-0.0004	-0.0007	-0.0005	-0.0007	-0.0005	-0.0006	-0.0003
L-Phenylalanine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_C13-label-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine_PARENT	1.007	1.009	1.007	1.0059	1.0078	1.0007	1.0054	1.0049	1.0058	1.0058	1.0059	1.0039	1.0064	1.0043	1.0042	1.0063	1.0044	1.0047	1.0032	1.0062	1.0083	1.008	1.0035	1.0035	1.0046	1.0052	1.005	1.0054	1.0074	1.0079	1.007	1.005	1.0051	1.004	1.0048	1.0048	1.0122	1.0101	1.01	1.0116	1.0091	1.0103	1.0081	1.0055	1.0123	1.0091	1.0081	1.0105	1.0121	1.0073	1.0117	1.0079	1.0087	1.0093	1.008	1.0117	1.0069	1.008	1.0068	1.0064	1.009	1.0073	1.007	1.0072	1.0101	1.0103	1.0098	1.0053	1.0067	1.0067	1.0086	1.0076
Glycine_C13-label-1	-0.007	-0.009	-0.007	-0.0059	-0.0078	-0.0007	-0.0054	-0.0049	-0.0058	-0.0058	-0.0059	-0.0039	-0.0064	-0.0043	-0.0042	-0.0063	-0.0044	-0.0047	-0.0032	-0.0062	-0.0083	-0.008	-0.0035	-0.0035	-0.0046	-0.0052	-0.005	-0.0054	-0.0074	-0.0079	-0.007	-0.005	-0.0051	-0.004	-0.0048	-0.0048	-0.0122	-0.0101	-0.01	-0.0116	-0.0091	-0.0103	-0.0081	-0.0055	-0.0123	-0.0091	-0.0081	-0.0105	-0.0121	-0.0073	-0.0117	-0.0079	-0.0087	-0.0093	-0.008	-0.0117	-0.0069	-0.008	-0.0068	-0.0064	-0.009	-0.0073	-0.007	-0.0072	-0.0101	-0.0103	-0.0098	-0.0053	-0.0067	-0.0067	-0.0086	-0.0076
Glycine_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine_PARENT	1.0101	1.0179	1.0083	0.9825	0.9938	0.9909	0.9914	0.9867	0.9831	0.9862	0.9853	0.979	0.9825	0.9722	0.9742	0.9276	0.9349	0.9227	1.0143	1.0171	1.019	1.0151	1.0153	1.0134	1.0064	1.0166	1.0108	1.01	1.011	1.0172	1.0147	1.0081	1.0125	1.0284	1.0208	1.0152	1.0125	1.0244	1.0222	1.0196	1.0087	0.9995	1.0114	1.0209	1.0284	1.0227	1.0126	1.0089	1.0146	1.0042	1.0092	0.8601	0.898	0.8759	1.0309	1.0082	1.0199	1.0296	1.0293	1.0248	1.0167	1.0204	1.0131	1.0208	1.0081	1.0192	1.0279	1.0181	1.0103	1.0133	1.0254	1.0207
L-Alanine_C13-label-1	-0.0156	-0.025	-0.0144	-0.0073	-0.0129	-0.0155	-0.0142	-0.0113	-0.0095	-0.0156	-0.0126	-0.0076	-0.0147	-0.0081	-0.0145	-0.0149	-0.0136	-0.0163	-0.0142	-0.0178	-0.019	-0.015	-0.0153	-0.0133	-0.0062	-0.0166	-0.0107	-0.0099	-0.0114	-0.0172	-0.0146	-0.0079	-0.0124	-0.0286	-0.0209	-0.0151	-0.0124	-0.0246	-0.0223	-0.0197	-0.0121	-0.0034	-0.0113	-0.0248	-0.0287	-0.0228	-0.0125	-0.0142	-0.0288	-0.0146	-0.016	-0.0173	-0.0222	-0.0174	-0.0312	-0.008	-0.0199	-0.0299	-0.0296	-0.025	-0.0167	-0.0205	-0.013	-0.0209	-0.0079	-0.0192	-0.0282	-0.0181	-0.0102	-0.0132	-0.0256	-0.0208
L-Alanine_C13-label-2	0.0	0.0002	-0.0001	-0.0002	-0.0001	0.0	-0.0001	-0.0001	-0.0002	0.0	-0.0001	-0.0002	0.0	-0.0002	0.0	0.0	0.0	0.0	-0.0001	0.0	0.0	0.0	0.0	-0.0001	-0.0002	0.0	-0.0001	-0.0002	-0.0001	0.0	0.0	-0.0002	-0.0001	0.0003	0.0001	0.0	-0.0001	0.0002	0.0001	0.0001	-0.0001	-0.0003	-0.0001	0.0002	0.0003	0.0001	-0.0001	-0.0001	0.0003	0.0	0.0	0.0001	0.0002	0.0001	0.0003	-0.0002	0.0001	0.0003	0.0003	0.0002	0.0	0.0001	-0.0001	0.0001	-0.0002	0.0	0.0002	0.0	-0.0001	-0.0001	0.0002	0.0001
L-Alanine_C13-label-3	0.0055	0.0069	0.0061	0.025	0.0192	0.0246	0.0228	0.0247	0.0266	0.0294	0.0274	0.0288	0.0323	0.036	0.0404	0.0873	0.0788	0.0935	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036	0.0041	0.0	0.0037	0.0	0.0	0.0	0.0053	0.014	0.0104	0.0068	0.1571	0.124	0.1415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
