	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
FruBP_label6	39941535.22	41535293.21	43211389.56	35389053.16	32934285.52	33223105.55	24082388.46	27629084.45	27525214.2	33059329.81	28449938.89	31638656.97	36948194.06	42159998.19	35781907.43	15062267.58	12095394.62	9287603.263	7548007.842	5694384.932	9387660.753	12962835.26	8880719.963	10829840.25	2992280.558	2823096.971	3174696.888	9198710.277	9022540.217	7505579.547	8070039.985	10204301.12	9188349.291	7218028.878	3845325.756	4606560.066
Fru1P_label0	24668128.82	22724011.25	24103936.42	3269098.651	3582721.998	3113459.822	3855613.439	4238083.091	3817942.047	4023778.775	4217698.579	4199715.25	467627.6369	734099.9423	709407.788	0	0	0	0	0	0	0	0	0	257572.8312	341468.6588	392298.3568	0	0	0	0	0	0	0	0	0
Fru1P_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79227.74785	60896.74846	46500.50664	40521.43968	45381.51623	54119.3249	47154.68563	41681.31628	43239.2952	0	0	0	19892.20618	20504.42304	24426.26919	16150.04407	14283.26683	14593.14109	19693.15501	11275.98014	10716.48494
Fru1P_label2	0	0	0	0	0	0	0	0	0	0	0	0	64963.80742	59614.74529	67806.55625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru1P_label3	6297245.088	6040581.01	6335377.486	72494.90812	78737.83772	76608.46556	30689.82322	34203.39315	26807.82597	46044.48211	41298.15515	43296.30588	2039989.318	2132161.142	2084181.828	0	0	0	0	0	0	0	0	0	112081.747	133646.8532	144274.8449	0	0	0	0	0	0	0	0	0
Fru1P_label4	0	0	0	0	0	0	0	0	0	0	0	0	217862.8806	264198.9376	219676.0518	0	0	0	0	0	0	0	0	0	13624.87341	14636.5555	11663.92574	0	0	0	0	0	0	0	0	0
Fru1P_label5	231953.4771	223370.0255	244207.4611	180110.7695	192583.6675	184894.442	160306.9807	179667.7441	141973.7178	136471.5494	147950.0267	147891.3095	1561019.17	1768917.42	1501533.216	262258.5296	217637.4606	189905.8931	236243.4127	314044.9826	316464.5005	209357.6747	155454.9004	178422.1668	93671.58907	102404.5391	103313.4494	55877.46939	52718.66946	57036.50375	84256.70488	98239.91517	89759.08088	35236.83148	27732.10071	33047.04002
Fru1P_label6	6928590.045	6539787.077	6737392.382	5127805.073	5367103.323	5338130.35	4860868.423	5093869.522	4222248.517	4095990.14	4323292.567	4366524.848	18385069.12	22659719.56	18111052.26	6922044.436	6104407.335	5308489.868	6633461.958	7985233.402	7959447.511	5956704.151	4679413.451	5162419.547	2199015.421	2230949.15	2348244.464	1850434.583	1736567.439	1915571.709	2548531.787	3012421.762	2761313.36	1228464.063	871446.2428	1131055.033
Fum_label0	530810.5345	874082.2006	898659.3792	607669.8452	1025669.59	1026447.843	448021.5295	753247.3941	887384.2063	691144.4165	695562.8383	1191475.382	1895955.436	3095542.362	2908646.765	1068017.927	985779.3926	871347.7706	479191.7103	689722.7792	839362.4276	1260656.565	1789214.596	1323313.29	1167104.894	1468316.113	1496980.7	482757.1201	386426.7283	247358.8733	360507.1165	492565.4243	414274.0447	436233.8476	681771.5252	539990.3311
Fum_label1	11286.38246	51176.64818	46561.48045	5817.345549	30173.77921	38733.66733	2109.900845	19150.5046	37832.34021	0	5974.040923	40819.43291	136344.0434	294502.5218	202421.8285	21432.82565	74299.66462	75826.92334	29055.44969	49473.81995	82644.02118	19063.1715	53900.78624	37921.08445	96016.23065	126206.6016	81824.89824	58552.12316	62224.57116	32432.45855	53551.75807	82351.41453	70746.24734	33670.23195	81631.96764	59208.6421
Fum_label2	15552.69921	51663.87686	51449.60121	27633.8473	58570.49985	60104.92371	27038.32658	52991.32669	75904.9663	0	17633.47919	41345.20667	455766.4905	883531.8831	873178.3372	432417.9707	341705.372	259192.9578	150568.4238	260023.1304	355559.093	352733.8294	497145.5671	382169.5558	217765.8982	334929.1049	323892.173	96108.74353	86311.62305	60003.84703	75142.56194	170012.9416	161000.5651	70323.96332	163199.7302	124925.8596
Fum_label3	13658.04577	30881.08265	32099.16824	208813.5466	217518.9924	218586.1083	232137.551	241910.4377	271836.3982	33013.7486	40083.45372	66968.75891	210429.3462	551641.2525	589434.3828	970861.002	559981.3751	448352.2766	334438.2641	548586.6569	625287.4566	986789.7105	1217347.106	972927.1582	134161.5092	257247.0094	245869.5663	79492.98045	68205.30716	52502.60532	60208.78555	187437.331	209335.8664	61500.8437	126508.8862	110244.2779
Fum_label4	0	0	0	0	0	0	0	0	0	0	0	0	186240.2028	446668.8723	468605.9297	44042.04373	40619.72384	38647.01018	34951.22355	30307.39194	74102.15522	18992.90266	19473.70863	24873.83227	111311.1462	162130.5995	169154.7065	54803.79848	62080.59384	45655.97987	49855.41208	104047.9629	94158.67324	42213.10123	74104.96701	61182.90184
Glc6P_label0	0	0	0	0	0	0	0	0	0	0	0	0	16100.78572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21511.51857	20283.18808	0
Glc6P_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glc6P_label2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glc6P_label3	0	0	0	8.24E-12	8.08E-12	1.22E-11	1.22E-11	8.86E-12	8.24E-12	1.03E-11	7.77E-12	1.37E-11	0	0	0	5.9E-12	6.97E-12	6.37E-12	1.08E-11	6.07E-12	1.11E-11	9.58E-12	9.12E-12	7.53E-12	4.49E-13	5.75E-13	0	7.27E-12	5.11E-12	6.44E-12	7.43E-12	6.95E-12	7.01E-12	0	0	3.29E-12
Glc6P_label4	6712.010614	5647.375711	7210.862135	0	0	0	0	0	0	0	0	0	31350.45823	13495.13633	21857.43562	0	0	0	0	0	0	0	0	0	0	0	5503.053888	0	0	0	0	0	0	10624.64883	0	0
