	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
PRPP	234474.133217	164502.789747	262445.206426	3265374.30386	1403175.78537	1379308.26422	1180413.56085	773075.779797	801459.9576699999	2189493.12492	1306703.29191	2188660.90715	63172.723890000736	69121.8781200004	65560.88141000064	4685589.198954	1127901.1055990001	1158352.2563500006	1376218.785801	1097430.199629	1862788.692538	1932711.36905	859269.3588330001	1525417.6695100004	0.0	0.0	0.0	152387.24360000002	74274.28912000032	198096.62092900003	104256.2858000001	756955.660923	520729.090104	102830.6438000001	37976.36694000001	30914.466000000015
AMP	13643821.86146	13309975.21932	13281617.1975	9565403.92	9556049.635	9484595.774	8351394.18132	9426287.01196	10313563.26606	10002588.89176	9115817.066	9594099.02	9279020.4105	8389577.3368	7596991.1084	7405683.36312	5000743.872590001	7638624.97551	4802414.372330001	9256375.253639998	4656373.53982	6958341.37654	4691349.03804	5627972.627769999	2200378.69092	2266642.8800399997	2488413.22926	9617634.053840999	8318398.266559999	9314779.535930002	6948836.948	7850214.767400001	7438797.53515	8161352.0056300005	4992785.84585	5596683.24172
CDP	2662451.864	2683067.106	2829501.627	3658703.167	4549519.711	4784405.574	3863879.502	5898599.122	5307527.486	6551835.0	5550428.022	5605290.875	915011.02816	800985.46975	931465.7735700001	2782262.726477	2433762.26766	2997630.558476	2928174.65162	3462047.32611	2747043.34704	3481678.3111099997	2174685.1657	2847835.0523900003	78350.47536000001	82926.66103	79103.58752	2259408.27428	1926620.6599400002	1617112.8151399998	2153304.73405	2455554.4823400006	2433193.68541	1384191.03618	953804.1036099999	914347.77807
Cit	9864962.515239999	10555893.2304	10669627.30698	6104076.527709001	6622207.696758	6124714.7470350005	3727385.1327989995	5173441.27989	4620063.391073	4979269.248302	3993771.11194	4639126.18108	5795629.51522	10517675.48467	10585287.8724	17362710.7065	15099558.4283	12077987.4816	8922269.3584	9726833.00422	15717894.8574	7907565.8820899995	6810005.74082	8034314.5794	6683038.804260001	9671676.64116	11516670.836579997	10943713.60077	5530370.758670001	4251489.17991	8829539.136400001	13263631.181699999	14751114.613499999	3364257.09422	4786453.7466400005	4646609.65085
UMP	22414126.919843998	22200939.191368997	23965632.092842	29113743.746113002	27845070.620795995	27707100.299045	26698043.974470995	31675178.89544	31212299.132340003	32089755.904439	27951281.216992997	31186822.96665	14242570.487339998	16538640.42151	15718468.231999999	31071457.37046	23274629.08901	22531573.45222	27435163.3924	29938227.79383	32382997.60128	29558428.62852	22071825.096890002	25800139.50541	5042657.174140001	5393280.61081	5619215.32339	13268663.655919999	10910212.822810002	11124418.941529999	13819055.901112	18598552.461999997	17302581.359050002	10977306.98951	8089179.6561900005	7899956.103259999
a-KG	1278167.1678499999	1369741.1372200001	1546042.805551	562535.286505	809025.3352900001	873852.9135700001	469546.233745	563744.19918	635431.85861	622126.073661	562802.8958589999	819573.18659	978644.96191	7380522.2066	8262190.053900001	9074143.42373	7326336.2645499995	4956645.52238	3603824.3129499997	2350053.61746	6789103.085379999	2975407.95778	2045120.9113999996	2983884.67943	15141020.448300002	20989621.8864	24554966.1982	3276721.95827	3224428.52304	5292439.2632	3533310.369	5397177.9299	5691869.8704	1280021.24849	1087730.89083	1605672.06536
ADP	35865981.5911739	37606436.73166101	39137289.74639	34025169.109877	37691400.360171005	38199381.87537	27566805.213464	38140702.959879	39021842.26342101	43094701.212974995	39750216.607002	42807670.917273	17217185.751599997	19933835.513499998	17531566.483	37723605.076560006	32519284.07825	36921541.016830005	30674229.41054	33145654.095286	33263131.116	41534929.04311	30774772.132718995	36960819.8586221	4934349.69922	5374528.7505	4912913.8039	42215671.63632	36876978.895378	30298640.929678	31949245.645079993	37158876.47555	36907952.236839995	30269367.770271994	24722173.300013	23203502.673993997
Glc6P	1003307.320924	848659.697801	1099885.0069549999	1371473.29828	1417858.38996	1282726.97609	1105305.87467	1607522.1834900002	1038688.7863899999	1289894.7207	1246715.34048	907814.0929400001	2353546.83584	733739.12217	1508897.7153399999	2378469.26438	1566613.8815600001	1949916.14459	1572650.38943	2571658.5844699997	1408828.41167	1870842.41938	1538134.2584900002	1457277.2612	754001.1096300001	741643.91787	685261.739228	2410929.33477	2227515.31581	2332099.09769	1981459.62543	1781531.70082	1844172.6957800002	1767467.0766099999	1511189.20817	1575735.5746000002
UTP	12400714.191078	11700718.521492	12965857.774221	37904488.04698	32947660.03249	33304028.11391	27213085.39664	29048054.00983	31250400.53398	43742500.72534	31181619.80479	39858022.33986	3332328.322889	3328949.4569400004	1787913.73905	41928292.11218999	30037598.8316	29148837.12495	29003304.8333	25877352.7281	34818234.90355	36665144.25218	28876088.73832	34762725.227	2067567.1724999999	2111074.909848	2244206.740987	9625777.087775	6830399.584145	7661163.038337	10130849.714817	17800014.59854	15514922.995114	5049872.848812	3759237.039068	3756702.3880740004
Glycine	456107061.032005	440801861.392907	390560559.33983	354765284.35181	292769623.48668975	354785034.01242834	781093522.1000615	698732776.3059086	552355239.759646	356752840.4963361	309618812.2216889	348490158.47216725	208803358.27335727	155185717.26430765	297924108.21546835	574309132.522843	468271969.5574398	494547391.4273552	724127362.1013783	981139532.7342765	495355755.3486975	567496185.0709828	748429931.4219513	523186442.0158567	647777475.8466543	266669407.31778872	255096315.67703235	422661191.4616612	886282712.1364629	1144813570.2443502	397584229.944951	284558137.9019044	291459323.3889121	432909819.79987997	392236781.2788801	555828514.8535721
