	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3	AB_T0_med-1	AB_T0_med-3	Cont_T0_med-1	Cont_T0_med-3	Cont_T24_med-1	Cont_T24_med-2	Cont_T24_med-3	Cont_T48_med-1	Cont_T48_med-2	Cont_T48_med-3	A_T24_med-1	A_T24_med-2	A_T24_med-3	A_T48_med-1	A_T48_med-2	A_T48_med-3	B_T24_med-1	B_T24_med-2	B_T24_med-3	B_T48_med-1	B_T48_med-2	B_T48_med-3	AB_T24_med-1	AB_T24_med-2	AB_T24_med-3	AB_T48_med-1	AB_T48_med-2	AB_T48_med-3	B_T0_med-1	Cont_T0_med-2	A_T0_med-3	A_T0_med-1	B_T0_med-3	AB_T0_med-2	A_T0_med-2	B_T0_med-2
Glutamine	199640467.257827	137160554.008791	121407967.597511	15391319.6154715	49113624.6255005	55209689.7171312	261727838.593058	203690012.411629	81510374.5362814	40028585.7417812	47815886.6598656	20918805.0893405	6761099.38333793	7508699.99441947	38428889.1870765	35714798.4739733	26092787.7798122	24728459.9843637	22362713.3614987	31693189.8968207	17289710.4149908	40518593.0183592	59040202.8286136	38063530.4152532	137219782.21818	36801958.2151311	52969274.9445128	54880408.4716945	150143772.546102	245765333.046251	32529647.5194146	22283699.633936	30801804.4729377	74033896.4866838	68248355.0323128	99205469.5387752																																				
PEP	94468.66346	74836.97128	118450.57048	372560.40297	389149.563018	221809.04682	222878.9184	224665.6206	342433.964374	719290.901664	751408.937968	1096653.02605	382093.502899	1003635.95005	836291.51198	901546.463227	300696.507413	781344.878908	478676.8099	759302.88727	648802.705854	691362.413607	290087.3463	723495.357316	449563.169703	670819.569178	752169.232006	354425.42185	72035.56932	40410.94023	82991.30241	218446.711963	380352.678395	19768.4387	30299.446457	20345.05623																																				
UDP	11636886.748983	12905845.553109	13465561.345413	19095395.19794	22041850.9617	23430242.59112	17232627.130483	24176011.04485	24136632.39371	31017409.21201	23564568.40736	26374181.36789	4377309.33237	4285364.90891	3950136.4034	26939623.55273	25193602.07611	27471918.96322	25297011.75425	28642412.56924	28565322.66396	30342357.08056	21453627.95329	26703014.96027	1613417.751686	1729456.25821	1673021.834746	11126981.72896	9081405.38912	9300643.28456	11439481.52626	13766062.387443	13616464.360414	6694497.94669	5095306.9689	4791037.3259																																				
Alanine	53829788.4172729	53942444.2103193	46832534.2480137	26433669.2342404	29757276.5422155	33874687.1150823	57773602.3553812	60163065.5514178	37321595.9494121	27364629.0152426	30005646.0188921	21166397.4981218	31479014.4582242	51526998.5130325	101787343.372134	114131556.024701	105304217.637226	88728111.3187673	98207075.8524125	147089704.414389	105917543.939628	101712128.630446	125010423.397338	104811233.708665	127232283.360309	108019031.847114	131087701.082465	121104790.734798	137093840.394967	215173581.897595	81674058.649535	80894471.1524041	105719467.555051	95088122.0463778	102989430.671438	115979825.585489																																				
Gly3P	10807634.6323	10258175.2569	11184559.6341	2279532.84135	1472280.30519	1423051.87565	1486341.13479	1217865.06056	881188.36299	1207140.42318	1108946.74749	983578.77729	5409606.84942	4424434.93199	5736425.6429	2323362.4119	1159698.9703	1037586.7566	820278.5023	960850.2469	789705.9242	1469716.1921	1444964.8908	1371410.6525	441809.81088	471101.4576	470930.29455	1366306.9026	1521506.7831	2267651.6197	1357441.81342745	1705474.3992	1249956.6399	2522568.3705	1820161.4978	1886895.5288																																				
Glycine	456107061.032005	440801861.392907	390560559.33983	354765284.35181	292769623.48669	354785034.012428	781093522.100062	698732776.305909	552355239.759646	356752840.496336	309618812.221689	348490158.472167	208803358.273357	155185717.264308	297924108.215468	574309132.522843	468271969.55744	494547391.427355	724127362.101378	981139532.734277	495355755.348697	567496185.070983	748429931.421951	523186442.015857	647777475.846654	266669407.317789	255096315.677032	422661191.461661	886282712.136463	1144813570.24435	397584229.944951	284558137.901904	291459323.388912	432909819.79988	392236781.27888	555828514.853572																																				
Rib1P	433872.14338	354268.775295	373092.935247	506931.49994	515317.83285	433136.32737	586588.68997	557296.51993	420235.93409	633722.2002	618450.11239	503112.27803	193270.98865	71015.68529	119034.96419	1058757.54637	600209.415023	509298.7318	468349.162116	601592.936669	613021.643388	718182.528917	489015.688892	635840.304548	8216.818359	9257.872932	7490.226663	270058.9365	238361.6376	343281.4064	261809.62516	366868.1549	358067.2662	276813.652	165305.31307	206052.25549																																				
FruBP	76234921.8138	77888151.1256	81186476.9539	38638958.58449	35926915.2997	36271464.00191	25973687.94582	29821452.087222	29669485.3293	36022718.938718	30906424.25628	34347712.67397	45920292.79876	52505163.94274	44867695.283	15919121.42811	12742908.812899	9752470.462171	7912973.4895	5935956.445156	9868031.227996	13669959.494078	9310129.30391	11362565.02401	3208705.2265	3013159.65634	3393015.46639	9691508.14823	9526268.508186	7891994.502111	8575173.300213	10855644.943838	9736037.48601	7788246.218594	4098444.19467	4879799.55405																																				
CMP	1796741.187	1468377.458	1641099.636	2104346.331	1898991.26	1937059.749	1875391.734	1931424.95	1701137.755	1588208.87	2032859.354	1624673.181	361649.7837	326256.6021	336613.1459	1261049.80056	716871.07791	730962.07905	581493.21307	850993.66666	625550.71038	895908.24884	763885.56786	840447.44968	0	0	0	1806458.687602	1548201.207899	1743124.104522	1129550.50248	1289052.15591	1091437.10753	1537727.62293	838984.12493	888432.94145																																				
ATP	22084754.3049	21835841.4843	23033294.1268	41541098.171906	28333872.96799	33025627.982992	24947108.396374	27848014.136966	28505130.750052	48097943.375448	32731826.770847	45269915.356986	5119818.424753	4466298.99718	4198366.52094	43782778.39551	24613580.795915	23362005.286612	21082643.400469	17065014.632762	25702369.419927	41433682.7384	25936199.8276258	35835444.0542913	2618844.2211441	2188687.738237	2182643.820247	29842249.419196	22096719.378861	22103739.3799573	19933773.00096	29658925.07503	24608310.566	17637496.9126828	14999338.624642	14934313.216255																																				
