	mets	stat	pval	padj	FC_geommu	log2FC
0	Hexose	1.0	0.373900966300059	1.0	28.871715682443288	4.851584936198959
1	Hexose-phosphate				1.0	0.0
2	Fumaric_acid	0.39052455113249357	0.7160546968234367	1.0	1.1914837185030618	0.25275923739022405
3	L-Malic_acid	-3.6907676665094735	0.021004591314426276	0.378082643659673	0.5956938995729896	-0.7473569101904056
4	L-Glutamic_acid	2.446804936904407	0.07068809474793682	0.6361928527314313	1.606408238779898	0.6838385735649317
5	L-Glutamine				1.0	0.0
6	L-Methionine				1.0	0.0
7	L-Phenylalanine				1.0	0.0
8	L-Histidine				1.0	0.0
9	L-Proline				1.0	0.0
10	L-Tryptophan				1.0	0.0
11	L-Valine				1.0	0.0
12	L-Arginine				1.0	0.0
13	L-Threonine				1.0	0.0
14	L-Lysine				1.0	0.0
15	Ile_Leu				1.0	0.0
16	L-Aspartic_acid	0.5292705647636131	0.6246286199978072	1.0	1.3301327218165275	0.41157020629287616
17	L-Tyrosine				1.0	0.0
