	mets	stat	pval	padj	FC_geommu	log2FC
0	Hexose	1.0	0.373900966300059	1.0	30.3032625379544	4.921401221718987
1	Hexose-phosphate				1.0	0.0
2	Fumaric_acid	-1.1629269512414209	0.3095078021741127	1.0	0.7992637290689758	-0.32325647428680443
3	L-Malic_acid	-1.442033645140285	0.22275101193908087	1.0	0.7919618287012825	-0.3364971985098446
4	L-Glutamic_acid	-0.6350428113213804	0.5599104124349659	1.0	0.9067052498509185	-0.14129445668940538
5	L-Glutamine	-1.3509045294112099	0.24808574582727375	1.0	0.8534486139438013	-0.2286238035443859
6	L-Methionine				1.0	0.0
7	L-Phenylalanine				1.0	0.0
8	L-Histidine				1.0	0.0
9	L-Proline	-3.3490804125546245	0.028593271587620976	0.5146788885771776	0.4879812921250959	-1.035102255041209
10	L-Tryptophan				1.0	0.0
11	L-Valine				1.0	0.0
12	L-Arginine				1.0	0.0
13	L-Threonine				1.0	0.0
14	L-Lysine				1.0	0.0
15	Ile_Leu				1.0	0.0
16	L-Aspartic_acid	-1.243150681965508	0.2817009235488489	1.0	0.8410192503673304	-0.24978927170583165
17	L-Tyrosine				1.0	0.0
