metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T1h-1	input_L-Cycloserine_cell_T1h-2	input_L-Cycloserine_cell_T1h-3	input_L-Cycloserine_cell_T2h-1	input_L-Cycloserine_cell_T2h-2	input_L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	geommean_2	geommean_1
L-Alanine	0.33006242530435204	1.9639610121239315	0.024767306717813353	0.23528941381922686	0.44280983805268653	1.2570677665714043	('0/3', '0/3')	1.1132211668127248	2.5139937534094967	cell	19682863.3	21143463.8	19908120.1	24185570.0	26552869.2	25627305.9	7.202700566154252	7.7371892677180725	7.285130508188656	8.850410434530797	9.716694319563748	9.377995868870267	9.308163352522119	7.4046631375408785
Pyruvic_acid	1.0098272263309964	1.9639610121239315	0.024767306717813353	0.23528941381922686	0.033621579072455554	2.013669933431699	('0/3', '0/3')	0.10204760183529027	3.035181709204511	cell	2333003.6333333333	1698515.6333333333	2686977.6333333333	2881917.6333333333	4024104.633333333	7496577.633333333	1.2212856563798389	0.8891425416098084	1.4065847115355026	1.5086323133707928	2.10654677011361	3.9243242508143195	2.319030525039505	1.151643815373163
L-Glutamine	-0.2867244986355347	-1.5275252316519468	0.06331522897380859	0.37353121124441796	-0.003664505472836256	0.8197611367324604	('0/3', '0/3')	-0.010593369558180576	2.8908046765670443	cell	13695763.083333336	17970271.493333336	16168708.323333334	12284238.233333334	13716599.583333336	13010185.383333337	6.9629870526740945	9.136166198244755	8.22024344527673	6.245361521677711	6.973580422232275	6.614436291416311	6.604431066011944	8.05653106749727
L-Tryptophan	-0.34393696467469026	-1.091089451179962	0.13761676203741713	0.37353121124441796	-0.08301368064916549	0.7878883103105798	('0/3', '0/3')	-0.24650163209981635	2.9694097427337036	cell	6167691.633333334	7942931.033333334	9012844.533333335	6471170.333333333	5357077.223333334	6229433.533333333	5.009729031741121	6.4516734234493365	7.320714393888541	5.256230663840937	4.351304651154837	5.059879105268335	4.873167609983156	6.185099520085771
Glycine	0.12043157665457543	1.091089451179962	0.13761676203741713	0.37353121124441796	-0.4500771118832148	1.0870600036967533	('0/3', '0/3')	-1.3200441609368507	2.932928882816359	cell	42265751.516666666	52878939.71666667	46413743.61666667	47224484.31666667	51463639.71666667	54829055.11666667	9.867026008761815	12.344696468826616	10.835383235740242	11.024652307889765	12.014291793431365	12.799954891578174	11.924051382332904	10.969082977740797
L-Histidine	-0.17583501019729572	-1.091089451179962	0.13761676203741713	0.37353121124441796	-0.4600143369630694	0.8852549985146221	('0/3', '0/3')	-1.3010432415596727	2.8282667234871903	cell	24527678.133333333	26794048.53333333	31450044.633333333	21809509.23333333	22700730.23333333	28962462.633333333	7.195743077600343	7.860633534349907	9.226574147390563	6.398307423903373	6.659767041340489	8.496786319160016	7.127320346569005	8.0511495089302
L-Glutamic_acid	0.146127066580545	1.091089451179962	0.13761676203741713	0.37353121124441796	-0.48063656679583994	1.1065948130702417	('0/3', '0/3')	-1.2463889666631243	2.59320462230364	cell	140844781.99	169002683.99	163924392.99	143617980.99	190106133.99	193659537.99	6.915479069595936	8.298032112551827	8.048688014576575	7.051643145888702	9.334211548589622	9.508683691899575	8.553872820336549	7.729905037783317
L-Methionine	0.22387568840419755	0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.2895906521057862	1.1678667595991923	('0/3', '0/3')	-0.8316717512443041	2.871887421768359	cell	76904903.58666667	77997936.58666667	92422974.58666667	76103044.58666667	89472771.65666667	129689273.58666667	4.121622838637449	4.180202585390625	4.953294589881753	4.078648200953357	4.795182126205103	6.950535622721716	5.1417766679981805	4.402708293335466
L-Malic_acid	-0.00787626986907208	0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.3165318183879249	0.9945554612660651	('0/3', '0/3')	-1.0259584415844802	3.241249005580599	cell	157171836.4799999	168200559.37999988	141115324.17999995	111048528.07999992	168084959.07999992	196617288.07999992	5.953493526096162	6.3712492249335515	5.345290783349071	4.2063941467714265	6.366870414753064	7.4476431523520255	5.842763106037695	5.874748401260479
L-Tyrosine	0.14233900118041024	0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.3228327398737276	1.1036930528431592	('0/3', '0/3')	-0.9738840530671906	3.0166830459888123	cell	328939721.8066666	319536913.90666664	394131384.9066666	296338856.50666666	356363844.90666664	527401142.9066666	4.294542815215767	4.171782447790355	5.145666500857546	3.8689152531963042	4.652584313444793	6.885598299185117	4.985878800137686	4.517450560455966
