metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T1h-1	input_L-Cycloserine_med_T1h-2	input_L-Cycloserine_med_T1h-3	input_L-Cycloserine_med_T2h-1	input_L-Cycloserine_med_T2h-2	input_L-Cycloserine_med_T2h-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	geommean_2	geommean_1
L-Proline	0.329578065643275	1.5275252316519468	0.06331522897380859	0.294893061508751	-0.042946263086647334	1.2566457988635191	('0/3', '0/3')	-0.1435734037980012	3.343094217728118	med	8555695.033333333	9489934.033333331	6848315.233333332	9268074.033333331	9909521.833333334	12014306.033333331	5.53669096634509	6.141269859299389	4.431785487836342	5.997696455501388	6.41279987209176	7.77487970556446	6.687163613469661	5.321438721648832
Hexose-phosphate	-0.08986085318865884	-1.091089451179962	0.13761676203741713	0.294893061508751	-0.1969240216602472	0.939613369820386	('0/3', '0/3')	-0.5915648940757556	3.0040260659330933	med	1839084.566666667	1842182.566666667	1971316.566666667	1684708.566666667	1734938.566666667	1895524.566666667	19.276007563368555	19.30847864844734	20.66197157955256	17.657945513619467	18.18442149925776	19.86757245744431	18.546479726379168	19.738416163580627
L-Tyrosine	0.03230792693270163	1.091089451179962	0.13761676203741713	0.294893061508751	-0.24669398395839323	1.0226467797017988	('0/3', '0/3')	-0.687898353059559	2.7884682959093894	med	576121956.9066666	544771812.9066666	560309911.9066666	568375310.9066666	574309133.9066666	576173656.9066666	51.159346292259634	48.37546893091124	49.75524447658306	50.471447939200075	50.99836850185996	51.16393722682063	50.87705933698117	49.75037358629026
L-Phenylalanine	0.03401079319594953	1.091089451179962	0.13761676203741713	0.294893061508751	-0.2532151863352182	1.0238545601356166	('0/3', '0/3')	-0.7309057679244688	2.886500523538352	med	717129140.8666667	674076428.8666667	698688642.8666667	714741480.8666667	705881485.8666667	718495782.8666667	46.60116490114294	43.803472802159554	45.402846998291224	46.44600771808189	45.87025913321847	46.689973325697906	46.334136077667644	45.25460732580062
Ile_Leu	0.032057950279380056	1.091089451179962	0.13761676203741713	0.294893061508751	-0.29303804402052913	1.0224696004183789	('0/3', '0/3')	-0.8604923179654591	2.936452571684434	med	2382664123.133333	2243258890.133333	2310481486.133333	2389754947.133333	2339735205.133333	2360890533.133333	47.7595119972077	44.96519204531222	46.31264104115451	47.901644616996656	46.899019679242244	47.32306943581984	47.37279748306851	46.33174175905503
L-Histidine	0.027820184159406725	1.091089451179962	0.13761676203741713	0.294893061508751	-0.3374994023160616	1.0194706094420454	('0/3', '0/3')	-1.046464967301631	3.1006424311283283	med	69297368.63333334	68234592.63333334	66712264.63333333	67970373.63333334	69607422.63333334	70644108.63333334	54.647733112009114	53.8096305930931	52.60912650623341	53.60126814470748	54.89224092776708	55.70976893736174	54.72752326254953	53.6822962385368
L-Alanine	0.15461797790362264	1.5275252316519468	0.06331522897380859	0.294893061508751	-0.3557742157729968	1.1131268259561493	('0/3', '0/3')	-1.0237643352999175	2.8775675411877923	med	1751399.54	2120167.1900000004	1855047.3600000003	1931224.9000000004	2282473.1300000004	2155290.25	9.489777994712984	11.487907519248559	10.051383030555334	10.464143183948641	12.367345535900776	11.678218201809877	11.475869070367331	10.30957910884039
L-Asparagine	0.06412678680764157	0.6546536707079772	0.25634538013096164	0.38451807019644246	-0.21930769516941223	1.0454519724929292	('0/3', '0/3')	-0.648132785206208	2.955358154238656	med	3413033.6	3493789.4	3540365.49	3311566.8	3892175.2	3742585.61	17.372701945839058	17.78375750761196	18.020834731045266	16.85622520391713	19.811583358155787	19.050156526239956	18.529314519129887	17.72373576850773
Hexose	0.019649459930544014	0.6546536707079772	0.25634538013096164	0.38451807019644246	-0.2691436728880021	1.0137131420408692	('0/3', '0/3')	-0.8606574388203541	3.1977621081900622	med	26178846.64333333	25622838.64333333	25977348.64333333	26889340.64333333	25837975.64333333	26126375.64333333	66.09837476148456	64.694522802111	65.5896170419736	67.89228491030106	65.23771732266421	65.96589192641692	66.35589942189402	65.45826099117377
Glycine	0.023258685696539577	0.6546536707079772	0.25634538013096164	0.38451807019644246	-0.32497125920559305	1.0162523480830965	('0/3', '0/3')	-0.9111431435787907	2.803765310834322	med	21915961.71666667	21587635.616666667	21750892.616666667	21540901.71666667	22233782.916666664	22551225.21666667	60.81934470965294	59.90820156607415	60.3612587436523	59.77850955390181	61.701335532995884	62.582274864736135	61.34280971145973	60.36178890722118
