metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T24h-1	input_L-Cycloserine_cell_T24h-2	input_L-Cycloserine_cell_T24h-3	input_L-Cycloserine_cell_T6h-1	input_L-Cycloserine_cell_T6h-2	input_L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	geommean_24	geommean_6
Pyruvic_acid	1.1198623819888027	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.5479941690505473	2.173262408670607	('0/3', '0/3')	1.4215692541813474	2.5941320810846458	cell	16253003.633333333	13348093.633333333	13833043.633333333	6644629.633333333	5781981.633333333	7610034.633333333	4.026582900810953	3.3069090978465816	3.4270525139068284	1.6461666204841996	1.4324508197263073	1.8853398436652342	3.5734953425252884	1.6442999834112113
L-Histidine	0.36360292437004965	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.51221805644762	1.2866350756073714	('0/3', '0/3')	1.310413789416085	2.5583123689629037	cell	43528595.63333333	45736902.63333333	41189962.63333333	33957758.63333333	32801866.633333333	34564403.63333333	8.609156140913814	9.045918675828087	8.14661751865062	6.716220498645189	6.4876063068651835	6.836203729234535	8.592710830713001	6.678436639586177
L-Threonine	0.3320986381822602	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.4432009421726926	1.2588432386541712	('0/3', '0/3')	1.0650356456582566	2.403053658769676	cell	416081506.21	456271176.52	449138172.69	342300523.83	341789081.24	365342933.72	8.733821506313875	9.57742883239384	9.427702441469773	7.1851106863184775	7.174375173624164	7.6687858606556185	9.23888803761801	7.33918867252709
L-Glutamine	0.6656641440727094	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.3732692553127175	1.5862983569613986	('0/3', '0/3')	0.9195267532123887	2.4634409079366253	cell	23263911.28333333	31380949.28333333	29298918.28333333	17422764.483333334	17947083.383333337	17137001.183333334	4.0234119312728875	5.427225208328853	5.06714524307033	3.013206061709019	3.103885178060499	2.9637843003922275	4.800781040508135	3.0264048496552522
L-Phenylalanine	0.403433106790654	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.37064190630373556	1.3226516144908071	('0/3', '0/3')	1.0755447833892724	2.9018434372822357	cell	850011224.8666667	735883768.8666667	744305228.8666667	588825790.8666667	547747157.8666667	623852038.8666667	8.160412578897681	7.064748074365896	7.145597110362408	5.652938749510569	5.258569141615445	5.989203290976624	7.440733912361466	5.6256188937749805
L-Methionine	0.34622210226242217	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.35513904701791743	1.271227379133955	('0/3', '0/3')	0.9728677909800023	2.7393996778138545	cell	173646107.9466667	157785065.58666667	164311311.58666667	128878098.77666669	121955303.58666667	139427642.58666667	9.202528342368563	8.361958440840803	8.70782259232939	6.830008289429196	6.463128664554708	7.389090649860801	8.750675520664174	6.883643055757435
L-Alanine	-0.3685502884711956	-1.9639610121239315	0.024767306717813353	0.0335087090888063	0.3283763895741266	0.7745604333218181	('0/3', '0/3')	0.9724147963308907	2.9612811006053796	cell	16640716.27	21313672.0	20747101.4	24407118.9	26061146.6	24894978.9	5.230954092825124	6.699882263032675	6.521782669790563	7.672297059363566	8.192235193430504	7.825654235960969	6.1141787875901175	7.893740145450689
Ile_Leu	0.3771260366138978	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.29561477064872693	1.2987520592520592	('0/3', '0/3')	0.8960634356473731	3.0311862755739876	cell	2488381489.133333	2127371107.1333327	2148982483.133333	1750403995.1333334	1592769587.1333334	1862615000.1333327	8.421893234569055	7.2000585170821	7.27320192460179	5.924218464392447	5.390706958995067	6.303995081434727	7.611854313116205	5.860898744214358
L-Tyrosine	0.36137840729474086	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.287505050164929	1.2846527188691217	('0/3', '0/3')	0.8473828360173359	2.947366787231145	cell	700809895.9066666	606765319.9066666	629631807.9066666	503238067.9066666	465480947.9066666	539107058.9066666	8.777261908969331	7.599404861728228	7.8857951585642105	6.302782466942742	5.829895121738186	6.752022025710892	8.072251986842803	6.283606353901463
L-Serine	0.2100175016785659	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.21749092337631995	1.1567022160513853	('0/3', '0/3')	0.5935721582053137	2.729181287157756	cell	98488276.15666668	105292307.15666668	107493829.15666668	89248285.15666667	86022464.15666667	93818449.15666668	12.518643332233415	13.383489795531919	13.663320753911421	11.34416697589994	10.934139466753665	11.925071174028101	13.179359380539644	11.393908646194003
L-Tryptophan	0.5145563023830847	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.20577647828876622	1.4285547233797493	('0/3', '0/3')	0.5802999162211142	2.8200497989220086	cell	10735596.133333333	12079428.533333335	9482850.533333335	8413609.633333333	6883300.633333334	7283526.733333333	5.826437743596449	6.55576434262125	5.146545900021847	4.566245983800733	3.735714543699242	3.9529258122725843	5.8145230724594175	4.070213746312158
L-Valine	0.3019738517051316	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.1991395575374523	1.232829980690253	('0/3', '0/3')	0.6135061340247905	3.0807848606844876	cell	634265084.0966667	548492299.1966666	564427176.2966666	472999565.19666666	435371110.9966666	508884641.39666665	9.824502162080764	8.495917423890589	8.74274203783636	7.32656639543109	6.743717301396276	7.882411289865798	9.00304663679468	7.302747968340238
L-Lysine	0.4344790032676696	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.16487335442101492	1.3514227091049729	('0/3', '0/3')	0.44173165746226317	2.6792179913697423	cell	39795992.71333333	38508852.71333333	31385140.113333333	28913889.313333336	24807210.513333336	27168515.613333333	7.1134624707524186	6.883388499471973	5.610037622222765	5.168305964760502	4.434244479382676	4.856323539750444	6.500543967809003	4.810148537546936
L-Arginine	0.5302809704000598	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.14993704047596756	1.444210433664126	('0/3', '0/3')	0.42491524402878245	2.8339577910829137	cell	23461656.1	22578510.1	18215917.200000003	16576254.200000005	12525979.400000002	15428207.200000005	6.08003920747794	5.851173764943074	4.720616920822216	4.295701676793434	3.2460814163950262	3.998187693028774	5.517165918919069	3.8201953055562634
Fumaric_acid	-0.4111442413959815	-1.9639610121239315	0.024767306717813353	0.0335087090888063	0.09862380515592274	0.7520266839189358	('0/3', '0/3')	0.29091566582766415	2.949750979165029	cell	4844928.153333336	5021306.853333339	5874094.753333338	6186177.273333333	6781539.663333334	8009301.293333337	4.516323117405562	4.680739012753751	5.475686963501774	5.766602629329438	6.321584837546682	7.4660740965705905	4.873556607007343	6.4805634044930835
L-Lactic_acid	0.49244275665099735	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.09808450906981002	1.4068248819288478	('0/3', '0/3')	0.3142592397626398	3.203964038184368	cell	4192974364.093333	3708990114.093333	3238493574.093333	2907257464.093333	2054273034.0933328	3028720104.093333	6.281447010454707	5.556395732702131	4.851550239268893	4.355329205643744	3.077482972270339	4.537290999506253	5.532368936940494	3.932521387704814
Hexose-phosphate	0.24939214983250912	1.9639610121239315	0.024767306717813353	0.0335087090888063	0.05425979838087729	1.1887061723476047	('0/3', '0/3')	0.13715111759449528	2.5276746631412337	cell	1102008369.5666666	1311001889.5666666	1280036179.5666666	1004525999.5666668	1085379049.5666666	1009820739.5666668	9.088867102476629	10.812551224136904	10.557160039554068	8.28487656099567	8.951715984882133	8.32854518414877	10.123445413636665	8.516356395831298
Hexose	0.05205968621075821	1.5275252316519468	0.06331522897380859	0.07664475086303145	-0.01744674101206299	1.0367439916089545	('0/3', '0/3')	-0.04871492122612153	2.7922075069744636	cell	29139502.063333336	29095731.843333334	28690364.243333336	27908243.043333333	27230809.203333333	28723664.71333333	42.62788325762216	42.56385224486616	41.97084407706477	40.82668687305873	39.835675750647695	42.01955899829089	42.386491135241926	40.88424092958672
L-Malic_acid	-0.29371434918347566	-1.5275252316519468	0.06331522897380859	0.07664475086303145	-0.08054663572357142	0.8157990039676709	('0/3', '0/3')	-0.23886484156374266	2.9655470947725817	cell	195554463.07999992	223557533.07999992	245685623.07999992	237612572.07999992	281478365.0799999	295782746.0799999	5.7860511274717314	6.6146039111526935	7.269328216989263	7.03046337542552	8.32836124514205	8.751598222244313	6.5282001750445495	8.002216407833778
Glycine	0.21098605233354256	1.091089451179962	0.13761676203741713	0.15072312032669496	-0.04028816327202261	1.1574790266768704	('0/3', '0/3')	-0.10743875903376754	2.6667574371248755	cell	63465412.71666667	80180276.71666667	76143367.71666667	60783189.91666667	64246885.71666667	63982584.71666667	8.725375264205685	11.023374357684549	10.468370546558317	8.356616920559674	8.832814023239452	8.79647729573718	10.022881272387746	8.659233594204727
L-Proline	0.2576848684432132	1.091089451179962	0.13761676203741713	0.15072312032669496	-0.06235906699536854	1.1955586193343293	('0/3', '0/3')	-0.17527700062889018	2.8107700944580865	cell	18597727.82333333	23632484.75333333	23083650.03333333	16434073.333333334	18966977.49333333	19046614.043333337	7.261871285303173	9.227797291198181	9.013493311088043	6.4170271967400945	7.406052531590498	7.4371482859320635	8.453046236066289	7.0703737143167675
L-Glutamic_acid	0.09937235811014511	0.6546536707079772	0.25634538013096164	0.25634538013096164	-0.3806343170023747	1.0713072908247347	('0/3', '0/3')	-1.0046143908048784	2.639316388276706	cell	223883989.99	295876699.99	295632789.99	235283215.99	262686111.99	257701035.99	8.207784980637417	10.847101368914123	10.83815941270405	8.625690682415692	9.63030507322057	9.447547780383491	9.881701586461553	9.223965589606161
L-Aspartic_acid	-0.10502774211473694	-0.6546536707079772	0.25634538013096164	0.25634538013096164	-0.39988722794916226	0.9297870632230877	('0/3', '0/3')	-1.1439298519415146	2.86063112795126	cell	33213296.81	37687636.81	41734911.81	38311884.81	41719569.81	40661795.81	11.149411316583798	12.651407860787852	14.010042444535058	12.860962418270363	14.004892270211878	13.649806851457624	12.54902781139866	13.496668546772112
Fructose_1,6-bisphosphate						315384633333333.4	('2/3', '3/3')	0.0		cell	31538.46333333333						31538.46333333333						31538.463333333337	0.0
Citric_acid						2.1797102566666678e+17	('2/3', '3/3')	0.0		cell			21797102.566666663						21797102.566666663				21797102.566666678	0.0
Succinic_acid						0.4914574576683714	('1/3', '2/3')	1.7173178953287835		cell	76158655.60666656		105442837.60666656			182340124.60666656	1.7008223210463882		2.3548148318441364			4.07213272717292	2.001279997384575	4.07213272717292
