metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T24h-1	input_L-Cycloserine_med_T24h-2	input_L-Cycloserine_med_T24h-3	input_L-Cycloserine_med_T6h-1	input_L-Cycloserine_med_T6h-2	input_L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	geommean_24	geommean_6
Hexose-phosphate	0.4296123605475254	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.36254380052497853	1.3468716356953028	('0/3', '0/3')	0.8840132431742607	2.438362597551448	med	2737838.566666667	2897905.566666667	2921561.566666667	1966093.566666667	2017738.566666667	2391439.566666667	6.986987695133555	7.3954800631691855	7.4558503797132	5.017487782161752	5.1492862687155085	6.1029744519592946	7.2764214330210955	5.402460962261448
L-Phenylalanine	0.0726344975055119	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.3085544503997206	1.0516353167742094	('0/3', '0/3')	0.9493197458683156	3.0766684604241092	med	748198640.8666667	726053938.8666667	729283877.8666667	703227744.8666667	706686803.8666667	685431323.8666667	36.674487145701356	35.589019270614536	35.74734133893544	34.470146670861354	34.63969952474622	33.59781868527725	36.00045079316868	34.232827881433856
L-Tryptophan	0.18645656052017787	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.22846782587746492	1.1379652955319028	('0/3', '0/3')	0.669258009130548	2.9293315439938308	med	22251769.73333333	23072352.73333333	24888086.73333333	21142223.73333333	20031621.73333333	20473595.73333333	13.42186363734538	13.916824409504777	15.012042203044336	12.752605628214832	12.082710659050505	12.349301354098268	14.101465488353156	12.391823848865188
Glycine	0.08391700227605836	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.07783092571677802	1.059891806451	('0/3', '0/3')	0.2438088391080484	3.1325445105876533	med	23807180.916666664	23143385.71666667	24608502.916666664	22619428.21666667	22936445.21666667	21949656.21666667	28.048647518140633	27.266591143880913	28.992732347218265	26.649285832368882	27.022782304772864	25.86018783663061	28.093809877051974	26.506299705366
L-Tyrosine	0.05412955347892023	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.04118517177652764	1.038232499249923	('0/3', '0/3')	0.1147716894230939	2.786723582114689	med	602744488.9066666	588130430.9066666	590615306.9066666	586539602.9066666	565405779.9066666	564118256.9066666	43.485532868592415	42.43118876226095	42.61046233333645	42.31641707283786	40.79169876911261	40.698809286477726	42.839929484726454	41.26236610361976
L-Histidine	0.046587024789406156	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.024952189578885547	1.0328186983245449	('0/3', '0/3')	0.06391731351909158	2.5615913712509695	med	74275159.63333334	70799035.63333334	73349999.63333334	70698974.63333334	70265050.63333334	70476819.63333334	47.44574474535111	45.225254169210054	46.85476782352017	45.16133685569096	44.88415337410014	45.019427912298084	46.49904408248522	45.021497149419076
Ile_Leu	0.05447836444593377	1.5275252316519468	0.06331522897380859	0.10552538162301432	-0.048711564748538216	1.0384835506882146	('0/3', '0/3')	-0.14303123469321832	2.9362890605461516	med	2446755834.133333	2354166493.133333	2429296972.133333	2362583764.133333	2325626497.133333	2273957628.133333	41.57671862399531	40.003385917627526	41.28004734084446	40.146417152320744	39.51841746811231	38.64042956344916	40.94765633086973	39.430240665567844
L-Asparagine	0.1536566632292343	1.5275252316519468	0.06331522897380859	0.10552538162301432	-0.12011746230607782	1.1123853603716172	('0/3', '0/3')	-0.35516910632103027	2.9568482342392866	med	4020027.07	3647923.6	4558513.0	3643395.45	3770870.5	3534957.41	11.61305752189154	10.53812471025616	13.16863612147029	10.52504378679418	10.89329381657719	10.211787887231003	11.724209478067019	10.539701344280804
L-Lactic_acid	-0.06557693625565393	-1.5275252316519468	0.06331522897380859	0.10552538162301432	-0.3661828034695264	0.9555631098267457	('0/3', '0/3')	-1.0834155782234163	2.9586741047318945	med	8735164799.093334	8999879567.093334	9435335172.093334	9544306546.093334	9016586670.093334	9878715228.093334	22.600232780502104	23.28512144772651	24.411762817972424	24.6937012215921	23.328347239749007	25.558906885234	23.420537282074992	24.509670833066586
L-Threonine	0.05515090318971985	1.091089451179962	0.13761676203741713	0.1720209525467714	-0.24927926099180275	1.0389677716904808	('0/3', '0/3')	-0.6727743855030432	2.6988782894585306	med	307296177.49	288305050.89	314174462.09	294971503.41	292724826.36	287431553.38	31.012145718884923	29.095572625475203	31.70629807070877	29.768347010978246	29.541613712090587	29.00741978125024	30.58450253554751	29.437392928737495
